num,prov
59038,BC
24025,QC
59022,BC
24056,QC
59030,BC
12011,NS
24057,QC
59017,BC
12010,NS
24047,QC
24046,QC
24045,QC
24044,QC
24043,QC
24042,QC
24041,QC
24040,QC
59001,BC
59026,BC
24049,QC
24048,QC
48015,AB
11002,PE
59006,BC
24058,QC
59025,BC
13005,NB
13004,NB
13007,NB
13006,NB
13001,NB
35017,ON
13003,NB
13002,NB
35018,ON
35019,ON
13009,NB
13008,NB
24059,QC
59024,BC
24050,QC
46003,MB
59012,BC
59013,BC
59014,BC
59015,BC
59016,BC
46002,MB
59018,BC
59019,BC
24060,QC
46001,MB
11004,PE
59007,BC
35103,ON
59027,BC
12001,NS
46007,MB
59005,BC
35013,ON
46006,MB
59004,BC
59003,BC
46005,MB
35029,ON
35028,ON
35027,ON
35026,ON
35025,ON
35024,ON
35023,ON
35022,ON
35021,ON
59002,BC
24017,QC
35049,ON
35048,ON
35045,ON
35044,ON
35047,ON
35046,ON
35041,ON
35040,ON
35043,ON
35042,ON
48012,AB
24021,QC
48013,AB
59031,BC
48010,AB
24054,QC
24011,QC
24024,QC
24027,QC
48011,AB
59009,BC
24020,QC
24023,QC
24022,QC
24029,QC
24028,QC
47001,SK
35038,ON
35039,ON
46009,MB
46008,MB
48014,AB
35030,ON
35031,ON
35032,ON
35033,ON
35034,ON
35035,ON
35036,ON
35037,ON
35110,ON
13010,NB
35058,ON
35059,ON
35056,ON
35057,ON
35054,ON
35055,ON
35052,ON
35053,ON
35050,ON
35051,ON
47013,SK
47012,SK
47011,SK
47010,SK
47014,SK
48001,AB
48003,AB
48002,AB
48005,AB
48004,AB
48007,AB
48006,AB
24036,QC
48009,AB
24034,QC
24035,QC
24032,QC
24033,QC
24030,QC
24031,QC
12006,NS
12007,NS
48008,AB
12005,NS
12002,NS
60001,YT
24038,QC
24039,QC
35120,ON
35121,ON
10006,NL
35016,ON
35020,ON
10004,NL
35069,ON
35068,ON
10005,NL
35063,ON
35062,ON
35061,ON
35060,ON
35067,ON
35066,ON
35065,ON
35064,ON
12008,NS
48018,AB
48019,AB
47008,SK
47009,SK
47004,SK
47005,SK
47006,SK
47007,SK
48016,AB
48017,AB
47002,SK
47003,SK
24003,QC
59042,BC
59041,BC
59040,BC
24007,QC
24006,QC
24005,QC
24004,QC
35115,ON
24009,QC
24008,QC
35010,ON
12009,NS
59036,BC
35011,ON
35119,ON
35118,ON
35117,ON
35116,ON
24002,QC
35114,ON
35113,ON
35112,ON
35111,ON
35012,ON
48027,AB
48026,AB
48025,AB
48024,AB
48023,AB
48022,AB
48021,AB
48020,AB
35015,ON
11001,PE
48029,AB
48028,AB
24051,QC
46010,MB
35014,ON
46014,MB
46011,MB
24018,QC
46012,MB
24019,QC
24014,QC
24015,QC
24016,QC
46013,MB
24010,QC
46004,MB
24012,QC
24013,QC
35108,ON
35109,ON
24052,QC
59032,BC
59033,BC
35100,ON
35101,ON
35102,ON
24001,QC
35104,ON
12004,NS
35106,ON
35107,ON
48030,AB
48031,AB
48032,AB
48033,AB
48034,AB
10001,NL
10002,NL
10003,NL
35105,ON
10007,NL
11003,PE
12003,NS
35089,ON
35088,ON
24053,QC
59034,BC
35081,ON
35080,ON
35083,ON
35082,ON
35085,ON
35084,ON
35087,ON
35086,ON
24069,QC
24068,QC
62001,NU
59021,BC
59020,BC
24063,QC
24062,QC
24065,QC
24064,QC
24067,QC
24066,QC
35074,ON
35075,ON
35076,ON
35077,ON
35070,ON
35071,ON
35072,ON
35073,ON
59037,BC
35078,ON
35079,ON
35004,ON
59029,BC
59028,BC
59008,BC
59035,BC
35099,ON
24037,QC
35098,ON
24026,QC
35092,ON
35093,ON
35090,ON
35091,ON
35096,ON
35097,ON
35094,ON
35095,ON
59010,BC
24078,QC
59039,BC
59011,BC
24072,QC
24073,QC
24070,QC
24071,QC
24076,QC
24077,QC
24074,QC
24075,QC
35001,ON
24061,QC
35003,ON
35002,ON
35005,ON
61001,NT
35007,ON
35006,ON
35009,ON
35008,ON
59023,BC
24055,QC
